Source (Grouped for Visualisations),Source (Pre-Group),Authors,Citation Count,Paper (Journal) Year,Source Type,Source Year,Source Use,Source Reliability,Source Use Count,,Unique Sources,Unique Sources (Reliability),Unique Sources (Type),Source Year,Times cited,,Source Year (no blanks)
"Hachman, 2015","Hachman, 2015","Liu et al., 2020",24,2020,News Piece,2015,"SS, StS, NtS, IS",EL,4,,Telecom Italia,NF,Data with source,,1,,
HGST,HGST,"Bio by Deloitte, 2015",0,2015,Data without source,n/a,StS,BL,1,,"Telecom Italia, 2012",EL,Report,2012,1,,
"Hilbert & Lopez, 2011","Hilbert & Lopez, 2011","Andrae, 2019b",2,2019,Paper (Journal) ,2011,MS,EL,1,,"TeliaSonera, 2008",NS,Report,2008,1,,
"Hintemann & Clausen, 2016","Hintemann & Clausen, 2016","Hintemann & Hinterholzer, 2019",26,2019,Paper (Conference),2016,"SS, StS, NtS, IS",EL,4,,"The Green Grid, 2009",BL,Report,2009,1,,
"Hintemann & Hinterholzer, 2019","Hintemann & Hinterholzer, 2019","Hintemann, 2020",2,2020,Paper (Conference),2019,"MS, SS, StS, NtS, IS",EL,5,,"The Shift Project, 2019",EL,Report,2019,1,,
"Hintemann & Hinterholzer, 2019","Hintemann & Hinterholzer, 2019","Montevecchi et al., 2020",8,2020,Paper (Conference),2019,"MS, SS, StS, NtS, IS",EL,5,,"The Zettabyte Era, 2017",BL,Report,2017,1,,
"Hintemann et al., 2014","Hintemann et al., 2014","Hintemann, 2015a",0,2015,Primary Data Collection (Survey),2014,"MS, SS, StS, NtS, IS",EL,5,,"Time Magazine, 2012",EL,News Piece,2012,1,,
"Hintemann et al., 2014","Hintemann et al., 2014","Hintemann & Hinterholzer, 2019",26,2019,Paper (Conference),2014,"MS, SS, StS, NtS, IS",EL,5,,"Tucker et al., 2012",EL,Paper (Conference),2012,1,,
"Hintemann et al., 2014","Hintemann et al., 2014","Hintemann, 2020",2,2020,Paper (Conference),2014,MS,EL,1,,"Uptime institute, 2011",NF,Report,2011,1,,
"Hintemann et al., 2014","Hintemann et al., 2014","Montevecchi et al., 2020",8,2020,Paper (Conference),2014,MS,EL,1,,"Uptime Institute, 2014",EL,Report,2014,1,,
"Hintemann et al., 2016","Hintemann et al., 2016","Hintemann & Hinterholzer, 2019",26,2019,Paper (Conference),2016,"SS, StS, NtS, IS",EL,4,,US EPA,NF,Report (Draft),,1,,
"Hintemann, 2015","Hintemann, 2015","Hintemann & Hinterholzer, 2019",26,2019,Paper (Journal) ,2015,"MS, SS, StS, NtS, IS",EL,5,,"Van Heddeghem et al., 2014",EL,Paper (Journal) ,2014,4,,
"Hintemann, 2015","Hintemann, 2015","Hintemann, 2020",2,2020,Paper (Journal) ,2015,MS,EL,1,,"Vereecken et al., 2010b",EL,Paper (Journal),2010,1,,
"Hintemann, 2015","Hintemann, 2015","Montevecchi et al., 2020",8,2020,Paper (Journal) ,2015,MS,EL,1,,"Verizon Communications, 2010",EL,Report,2007,1,,
"Hintemann, 2015b","Hintemann, 2015b","Hintemann, 2015a",0,2015,Primary Data Collection (Survey),2015,"MS, SS, StS, NtS, IS",EL,5,,"Xu, 2014",EL,Paper (Journal) ,2014,2,,
"Hintemann, 2015b","Hintemann, 2015b","Hintemann, 2015b",14,2015,Primary Data Collection (Survey),2015,"MS, SS, StS, NtS, IS",EL,5,,"Zhang et al., 2020",EL,Paper (Journal) ,2020,1,,
"Hoefflinger, 2016","Hoefflinger, 2016","Andrae, 2019c",19,2019,Book Chapter,2016,SS,EL,1,,,,,,,,
"Howard-Healy, 2013","Howard-Healy, 2013","Hintemann, 2015b",14,2015,Report,2013,MS,BL,1,,,,,,,,
"Howard-Healy, 2018","Howard-Healy, 2018","Hintemann & Hinterholzer, 2019",26,2019,Presentation,2018,MS,NF,1,,,,,,,,
"Howard-Healy, 2018","Howard-Healy, 2018","Hintemann, 2020",2,2020,Report,2018,MS,NF,1,,,,,,,,
"Howard-Healy, 2018","Howard-Healy, 2018","Montevecchi et al., 2020",8,2020,Report,2018,MS,NF,1,,,,,,,,
HP,HP,"Bio by Deloitte, 2015",0,2015,Data with source,n/a,SS,BL,1,,,,,,,,
"Huang et al., 2015","Huang et al., 2015","Shehabi et al., 2016",691,2016,Report,2015,StS,EL,1,,,,,,,,
"Hylick et al., 2008","Hylick et al., 2008","Shehabi et al., 2016",691,2016,Paper (Conference),2008,StS,EL,1,,,,,,,,
IDC,"Bailey et al., 2007 (IDC)","Koomey, 2008",581,2008,Report,2007,MS,PC,1,,,,,,,,
IDC,"Bailey et al., 2007 (IDC)","Koomey, 2011",1627,2011,Report,2007,MS,PC,1,,,,,,,,
IDC,"Bailey et al., 2007 (IDC)","Masanet et al., 2011",105,2011,Report,2007,MS,PC,1,,,,,,,,
IDC,"Bailey et al., 2007 (IDC)","Shehabi et al., 2016",691,2016,Report,2007,MS,PC,1,,,,,,,,
IDC,"Cohen et al., 2007 (IDC)","Koomey, 2007a",762,2007,"Report (Draft), Data with source",2007,MS,PC,1,,,,,,,,
IDC,IDC,"Brown et al., 2007",519,2007,Data with source,n/a,MS,PC,1,,,,,,,,
IDC,IDC,"Koomey, 2007b",38,2007,Personal Communications,n/a,IS,PC,1,,,,,,,,
IDC,IDC,"Koomey, 2008",581,2008,Data with source,n/a,MS,PC,1,,,,,,,,
IDC,IDC,"Malmodin et al., 2010",277,2010,Report,2006,MS,PC,1,,,,,,,,
IDC,IDC,"Koomey, 2011",1627,2011,Personal Communications,n/a,MS,PC,1,,,,,,,,
IDC,IDC,"Masanet et al., 2011",105,2011,Data with source,n/a,MS,PC,1,,,,,,,,
IDC,IDC,"Liua et al., 2014",23,2014,Data without source,n/a,MS,PC,1,,,,,,,,
IDC,IDC,"Bio by Deloitte, 2015",0,2015,Report,n/a,MS,NS,1,,,,,,,,
IDC,"IDC, 2010","Bio by Deloitte, 2015",0,2015,Report,2010,MS,EL,1,,,,,,,,
IDC,"IDC, 2014","Bio by Deloitte, 2015",0,2015,Report,2014,MS,PC,1,,,,,,,,
IDC,IDC,"Hintemann & Clausen, 2016",26,2016,Data without source,n/a,MS,PC,1,,,,,,,,
IDC,IDC,"Shehabi et al., 2016",691,2016,Data with source,n/a,MS,PC,1,,,,,,,,
IDC,IDC,"Malmodin & Lunden, 2018a",144,2018,Data with source,n/a,MS,PC,1,,,,,,,,
IDC,IDC,"Shehabi et al., 2018",68,2018,"Data with source, Personal Communications",n/a,MS,PC,1,,,,,,,,
IDC,IDC,"The Shift Project, 2019",28,2019,Data without source,n/a,MS,PC,1,,,,,,,,
IDC,"IDC, 2012","Van Heddeghem et al., 2014",541,2014,Data without source,2012,MS,EL,1,,,,,,,,
IDC,"IDC, 2013","Van Heddeghem et al., 2014",541,2014,Data without source,2013,MS,EL,1,,,,,,,,
IDC,"IDC, 2014","Shehabi et al., 2016",691,2016,Data with source,2014,MS,PC,1,,,,,,,,
IDC,"IDC, 2015","Shehabi et al., 2016",691,2016,Report,2015,MS,PC,1,,,,,,,,
IDC,"IDC, 2015","Shehabi et al., 2018",68,2018,Data with source,2015,MS,PC,1,,,,,,,,
IDC,"IDC, 2018","Hintemann & Hinterholzer, 2019",26,2019,Data with source,2018,MS,PC,1,,,,,,,,
IDC,"IDC, 2018","Hintemann, 2020",2,2020,Data with source,2018,MS,PC,1,,,,,,,,
IDC,"Reinsel et al., 2018 (IDC)","Masanet et al., 2020",265,2020,Report,2018,"MS, StS",EL,2,,,,,,,,
IDC,"Villars, 2014 (IDC)","Shehabi et al., 2016",691,2016,Report,2014,MS,PC,1,,,,,,,,
IDC/EITO,IDC/EITO,"Hintemann, 2015a",0,2015,Data without source,n/a,MS,NS,1,,,,,,,,
IDC/EITO,IDC/EITO,"Hintemann & Hinterholzer, 2019",26,2019,Data without source,n/a,MS,NS,1,,,,,,,,
IDC/EITO,IDC/EITO,"Hintemann, 2020",2,2020,Data without source,n/a,MS,NS,1,,,,,,,,
IDC/EITO,IDC/EITO,"Montevecchi et al., 2020",8,2020,Data without source,n/a,MS,NS,1,,,,,,,,
"IEA, 2017","IEA, 2017","Malmodin & Lunden, 2018a",144,2018,Report,2017,"SS, StS, NtS, IS",EL,4,,,,,,,,
"IEA, 2019","IEA, 2019","Montevecchi et al., 2020",8,2020,Data with source,2019,"SS, StS, NtS, IS",EL,4,,,,,,,,
IHS,IHS,"Hintemann & Clausen, 2016",26,2016,Data without source,n/a,MS,NS,1,,,,,,,,
Industry Comment,Industry Comment,"Shehabi et al., 2016",691,2016,Data without source,n/a,NtS,PC,1,,,,,,,,
"Ionescu, 2017","Ionescu, 2017","Andrae, 2019b",2,2019,Paper (Conference),2017,SS,EL,1,,,,,,,,
"Kaskade, 2011","Kaskade, 2011","Liua et al., 2014",23,2014,Blog Post,2011,MS,EL,1,,,,,,,,
"Kezhi Consulting, 2019","Kezhi Consulting, 2019","Greenpeace & NCEPU, 2019",0,2019,Report,2019,MS,EL,1,,,,,,,,
"Kief & Victora, 2018","Kief & Victora, 2018","Masanet et al., 2020",265,2020,Paper (Journal) ,2018,MS,EL,1,,,,,,,,
"Koomey & Taylor, 2015","Koomey & Taylor, 2015","Montevecchi et al., 2020",8,2020,Report,2015,"SS, StS, NtS, IS",EL,4,,,,,,,,
Koomey 2011,Koomey 2011,"GeSI & BCG, 2012",71,2012,Report,2011,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Koomey, 2007","Koomey, 2007a","Brown et al., 2007",519,2007,Report,2007,"SS, IS",EL,2,,,,,,,,
"Koomey, 2007","Koomey, 2007a","Koomey, 2007b",38,2007,Report,2007,"MS, SS, IS",EL,3,,,,,,,,
"Koomey, 2007","Koomey, 2007a","Bio Intelligence Service, 2008",11,2008,Report,2007,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Koomey, 2007","Koomey, 2007a","Koomey, 2008",581,2008,Report,2007,SS,EL,1,,,,,,,,
"Koomey, 2007","Koomey, 2007a","Somavat, Jadhav & Namboodiri, 2010",57,2010,Report,2007,MS,EL,1,,,,,,,,
"Koomey, 2007","Koomey, 2007a","Malmodin et al., 2010",277,2010,Report,2007,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Koomey, 2007","Koomey, 2007a","Masanet et al., 2011",105,2011,Report,2007,"SS, NtS, IS",EL,3,,,,,,,,
"Koomey, 2007","Koomey, 2007a","Pickavet et al., 2008",420,2008,Report,2007,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Koomey, 2007","Koomey, 2007b","Koomey, 2008",581,2008,Report,2007,SS,EL,1,,,,,,,,
"Koomey, 2007","Koomey, 2007b","Malmodin et al., 2010",277,2010,Report,2007,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Koomey, 2007","Koomey, 2007b","Masanet et al., 2011",105,2011,Report,2007,"SS, NtS, IS",EL,3,,,,,,,,
"Koomey, 2008","Koomey, 2008","Koomey, 2011",1627,2011,Paper (Journal) ,2008,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Koomey, 2008","Koomey, 2008","Masanet et al., 2011",105,2011,Paper (Journal) ,2008,"SS, NtS",EL,2,,,,,,,,
"Koomey, 2008","Koomey, 2008","Masanet et al., 2020",265,2020,Paper (Journal) ,2018,MS,EL,1,,,,,,,,
"Koomey, 2011","Koomey, 2011","Corcoran & Andrae, 2013",67,2013,Report,2011,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Koomey, 2011","Koomey, 2011","Liua et al., 2014",23,2014,Report,2011,IS,EL,1,,,,,,,,
"Koomey, 2011","Koomey, 2011","Malmodin et al., 2014",84,2010,Report,2011,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Koomey, 2011","Koomey, 2011","Van Heddeghem et al., 2014",541,2014,Report,2011,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Koomey, 2011","Koomey, 2011","Whitehead et al., 2014",113,2014,Report,2011,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Koomey, 2011","Koomey, 2011","Whitney & Delforge, 2014",259,2014,Report,2011,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Koomey, 2011","Koomey, 2011","Shehabi et al., 2016",691,2016,Report,2011,"SS, StS",EL,2,,,,,,,,
"Koomey, 2011","Koomey, 2011","Malmodin & Lunden, 2018a",144,2018,Report,2011,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Kuckelhaus et al., 2015","Kuckelhaus et al., 2015","Koot & Wijnhoven, 2021",19,2021,Report,2015,MS,EL,1,,,,,,,,
"Lambert et al., 2012","Lambert et al., 2012","Corcoran & Andrae, 2013",67,2013,Paper (Journal) ,2012,NtS,EL,1,,,,,,,,
"Landauer, 1988","Landauer, 1988","Andrae, 2019c",19,2019,Paper (Journal) ,1988,SS,EL,1,,,,,,,,
"Lanzisera et al., 2012","Lanzisera et al., 2012","Shehabi et al., 2016",691,2016,Paper (Journal) ,2012,NtS,EL,1,,,,,,,,
"Lanzisera et al., 2012","Lanzisera et al., 2012","Shehabi et al., 2018",68,2018,Paper (Journal) ,2012,NtS,EL,1,,,,,,,,
"Lorenz, 2011","Lorenz, 2011","Whitney & Delforge, 2014",259,2014,Blog Post,2011,MS,BL,1,,,,,,,,
"Lunden & Malmodin, 2013","Lunden & Malmodin, 2013","Malmodin & Lunden, 2016",24,2016,Paper (Conference),2013,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Malmodin & Lunden, 2016","Malmodin & Lunden, 2016","Malmodin & Lunden, 2018a",144,2018,Paper (Conference),2013,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Malmodin & Lunden, 2018","Malmodin & Lunden, 2018","Montevecchi et al., 2020",8,2020,Paper (Journal) ,2018,MS,EL,1,,,,,,,,
"Malmodin & Lunden, 2018b","Malmodin & Lunden, 2018b","Malmodin & Lunden, 2018a",144,2018,Report,2018,NtS,EL,1,,,,,,,,
"Malmodin et al., 2010","Malmodin et al., 2010","GeSI & BCG, 2012",71,2012,Paper (Journal) ,2010,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Malmodin et al., 2010","Malmodin et al., 2010","Malmodin & Lunden, 2018a",144,2018,Paper (Journal) ,2010,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Malmodin et al., 2013","Malmodin et al., 2013","Malmodin & Lunden, 2018a",144,2018,Paper (Conference),2013,MS,EL,1,,,,,,,,
"Malmodin et al., 2013","Malmodin et al., 2013","Malmodin & Lunden, 2018a",144,2018,Paper (Conference),2013,SS,EL,1,,,,,,,,
"Malmodin et al., 2013","Malmodin et al., 2013","Malmodin & Lunden, 2018a",144,2018,Paper (Conference),2013,StS,EL,1,,,,,,,,
"Malmodin et al., 2013","Malmodin et al., 2013","Malmodin & Lunden, 2018a",144,2018,Paper (Conference),2013,NtS,EL,1,,,,,,,,
"Malmodin et al., 2013","Malmodin et al., 2013","Malmodin & Lunden, 2018a",144,2018,Paper (Conference),2013,IS,EL,1,,,,,,,,
"Malmodin et al., 2014","Malmodin et al., 2014","Malmodin & Lunden, 2016",24,2016,Paper (Journal) ,2014,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Malone & Belady, 2006","Malone & Belady, 2006","Koomey, 2007a",762,2007,Paper (Conference),2006,IS,EL,1,,,,,,,,
Manufacturing Data,Manufacturing Data,"Koomey, 2007a",762,2007,Data without source,n/a,SS,NS,1,,,,,,,,
Manufacturing Data,Manufacturing Data,"Montevecchi et al., 2020",8,2020,Data without source,n/a,"SS, StS, NtS, IS",NS,4,,,,,,,,
"Masanet et al., 2011","Masanet et al., 2011","Whitehead et al., 2014",113,2014,Paper (Journal) ,2011,MS,EL,1,,,,,,,,
"Masanet et al., 2011","Masanet et al., 2011","Whitney & Delforge, 2014",259,2014,Paper (Journal) ,2011,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Masanet et al., 2011","Masanet et al., 2011","Shehabi et al., 2016",691,2016,Paper (Journal) ,2011,SS,EL,1,,,,,,,,
"Masanet et al., 2011","Masanet et al., 2011","Shehabi et al., 2018",68,2018,Paper (Conference),2011,MS,EL,1,,,,,,,,
"Masanet et al., 2020","Masanet et al., 2020","Montevecchi et al., 2020",8,2020,Paper (Journal) ,2020,MS,EL,1,,,,,,,,
"Masanet et al., 2020","Masanet et al., 2020","Koot & Wijnhoven, 2021",19,2021,Paper (Journal) ,2020,"MS, SS, StS, NtS",EL,4,,,,,,,,
"Mitchell & York, 2020","Mitchell & York, 2020","Andrae, 2020a",23,2020,Paper (Journal) ,2020,SS,EL,1,,,,,,,,
"NetApp, 2009","NetApp, 2009","Liua et al., 2014",23,2014,Report,2009,NtS,BL,1,,,,,,,,
"NL Times, 2018","NL Times, 2018","Koot & Wijnhoven, 2021",19,2021,Report,2018,MS,EL,1,,,,,,,,
"NRDC & WSP, 2012","NRDC & WSP, 2012","Shehabi et al., 2016",691,2016,Report,2012,MS,EL,1,,,,,,,,
Personal Communication,Personal Communication,"Masanet et al., 2011",105,2011,Personal Communications,n/a,"SS, StS, NtS",PC,3,,,,,,,,
Personal Communication,Personal Communication,"Shehabi et al., 2016",691,2016,Personal Communications,n/a,MS,PC,1,,,,,,,,
"Pickavet et al., 2008","Pickavet et al., 2008","Vereecken et al., 2010a",171,2010,Paper (Conference),2008,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Pickavet et al., 2008","Pickavet et al., 2008","Corcoran & Andrae, 2013",67,2010,Paper (Conference),2008,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Porod, 2019","Porod, 2019","Andrae, 2019c",19,2019,Book Chapter,2019,SS,EL,1,,,,,,,,
"PRODCOM, 2012","PRODCOM, 2012","Bio by Deloitte, 2015",0,2015,Data with source,2012,MS,EL,1,,,,,,,,
PTS,PTS,"Malmodin et al., 2014",84,2010,Data with source,n/a,MS,BL,1,,,,,,,,
PTS,"PTS, 2015","Malmodin & Lunden, 2016",24,2016,Data with source,2015,MS,BL,1,,,,,,,,
"Rauchs et al., 2019","Rauchs et al., 2019","Montevecchi et al., 2020",8,2020,Report,2019,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Reinsel, 2010","Reinsel, 2010","Shehabi et al., 2016",691,2016,Report,2010,StS,PC,1,,,,,,,,
"Reinsel, 2010","Reinsel, 2010","Shehabi et al., 2018",68,2018,Report,2010,StS,PC,1,,,,,,,,
"SCB, 2015","SCB, 2015","Malmodin & Lunden, 2016",24,2016,Data without source,2015,MS,NS,1,,,,,,,,
"Schappi et al., 2009","Schappi et al., 2009","Liua et al., 2014",23,2014,Report,2009,"MS, SS",NF,2,,,,,,,,
Seagate,Seagate,"Bio by Deloitte, 2015",0,2015,Data with source,n/a,StS,BL,1,,,,,,,,
"Shalf, 2020","Shalf, 2020","Koot & Wijnhoven, 2021",19,2021,Paper (Journal) ,2020,SS,EL,1,,,,,,,,
"Shehabi et al., 2011","Shehabi et al., 2011","Shehabi et al., 2016",691,2016,Paper (Journal) ,2011,IS,EL,1,,,,,,,,
"Shehabi et al., 2016","Shehabi et al., 2016","IEA, 2017",15,2017,Report,2016,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Shehabi et al., 2016","Shehabi et al., 2016","Malmodin & Lunden, 2018a",144,2018,Report,2016,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Shehabi et al., 2016","Shehabi et al., 2016","Shehabi et al., 2018",68,2018,Report,2016,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Shehabi et al., 2016","Shehabi et al., 2016","The Shift Project, 2019",28,2019,Report,2016,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Shehabi et al., 2016","Shehabi et al., 2016","Masanet et al., 2020",265,2020,Report,2016,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Shehabi et al., 2016","Shehabi et al., 2016","Montevecchi et al., 2020",8,2020,Report,2016,"MS, SS, StS, NtS, IS",EL,5,,,,,,,,
"Shehabi et al., 2016","Shehabi et al., 2016","Koot & Wijnhoven, 2021",19,2021,Report,2016,"StS, NtS",EL,2,,,,,,,,
"Shehabi et al., 2018","Shehabi et al., 2018","Montevecchi et al., 2020",8,2020,Paper (Journal) ,2018,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Shehabi et al., 2018","Shehabi et al., 2018","Koot & Wijnhoven, 2021",19,2021,Paper (Journal) ,2018,"SS, StS, NtS",EL,3,,,,,,,,
"SNIA, 2011","SNIA, 2011","Liua et al., 2014",23,2014,Report,2011,StS,EL,1,,,,,,,,
SPEC,SPEC,"Bio by Deloitte, 2015",0,2015,Data with source,n/a,SS,NS,1,,,,,,,,
SPEC,SPEC,"Liua et al., 2014",23,2014,Data with source,n/a,SS,EL,1,,,,,,,,
SPEC,SPEC,"Whitney & Delforge, 2014",259,2014,Data with source,n/a,SS,EL,1,,,,,,,,
SPEC,SPEC,"Shehabi et al., 2016",691,2016,Data with source,n/a,SS,EL,1,,,,,,,,
SPEC,SPEC,"Shehabi et al., 2018",68,2018,Data with source,n/a,SS,EL,1,,,,,,,,
"Stansberry & Kudritzki, 2012","Stansberry & Kudritzki, 2012","Liua et al., 2014",23,2014,Report,2012,"SS, IS",EL,2,,,,,,,,
Statista,Statista,"The Shift Project, 2019",28,2019,Data without source,n/a,MS,NS,1,,,,,,,,
"Stobbe et al., 2021","Stobbe et al., 2021","Andrae, 2020a",23,2020,Book Chapter,2021,NtS,EL,1,,,,,,,,
"Summers, 2017","Summers, 2017","Andrae, 2019c",19,2019,Presentation,2017,SS,NF,1,,,,,,,,
"Summers, 2018","Summers, 2018","Andrae, 2019b",2,2019,Presentation,2018,SS,NF,1,,,,,,,,
"Summers, 2018","Summers, 2018","Andrae, 2019c",19,2019,Presentation,2018,SS,NF,1,,,,,,,,
Survey,Survey,"Bertoldi, 2010",5,2010,Primary Data Collection (Survey),n/a,"MS, SS, StS, NtS, IS",NS,5,,,,,,,,
Survey,Survey,"Shehabi et al., 2016",691,2016,Primary Data Collection (Survey),n/a,NtS,NS,1,,,,,,,,
Survey,Survey,"Avgerinou, Bertoldi & Castellazzi, 2017",232,2017,Primary Data Collection (Survey),2017,"MS, SS, StS, NtS, IS",PC,5,,,,,,,,
"Swedish Energy Agency, 2009","Swedish Energy Agency, 2009","Malmodin & Lunden, 2016",24,2016,Data with source,2009,"SS, StS, NtS, IS",NF,4,,,,,,,,
"Synergy Research Group, 2019","Synergy Research Group, 2019","Greenpeace & NCEPU, 2019",0,2019,Report,2019,MS,EL,1,,,,,,,,
"Synergy Research Group, 2019","Synergy Research Group, 2019","Masanet et al., 2020",265,2020,Data with source,2019,"MS, SS",EL,2,,,,,,,,
Techconsult,Techconsult,"Hintemann, 2015a",0,2015,Data without source,n/a,MS,BL,1,,,,,,,,
Techconsult,Techconsult,"Hintemann, 2015b",14,2015,Data without source,n/a,MS,BL,1,,,,,,,,
Techconsult,Techconsult,"Hintemann & Hinterholzer, 2019",26,2019,Data without source,n/a,MS,BL,1,,,,,,,,
Techconsult,Techconsult,"Hintemann, 2020",2,2020,Data without source,n/a,MS,BL,1,,,,,,,,
Techconsult,Techconsult,"Montevecchi et al., 2020",8,2020,Data without source,n/a,MS,BL,1,,,,,,,,
"Technavio, 2014","Technavio, 2014","Belkhir & Elmeligi, 2018",352,2018,Data with source,2014,MS,BL,1,,,,,,,,
"Technavio, 2015","Technavio, 2015","Belkhir & Elmeligi, 2018",352,2018,Data with source,2015,MS,BL,1,,,,,,,,
Telecom Italia,Telecom Italia,"Corcoran & Andrae, 2013",67,2013,Data with source,n/a,NtS,NF,1,,,,,,,,
"Telecom Italia, 2012","Telecom Italia, 2012","Corcoran & Andrae, 2013",67,2013,Report,2012,NtS,EL,1,,,,,,,,
"TeliaSonera, 2008","TeliaSonera, 2008","Malmodin et al., 2014",84,2010,Report,2008,MS,NS,1,,,,,,,,
"The Green Grid, 2009","The Green Grid, 2009","Bio by Deloitte, 2015",0,2015,Report,2009,SS,BL,1,,,,,,,,
"The Shift Project, 2019","The Shift Project, 2019","Montevecchi et al., 2020",8,2020,Report,2019,"SS, StS, NtS, IS",EL,4,,,,,,,,
"The Zettabyte Era, 2017","The Zettabyte Era, 2017","The Shift Project, 2019",28,2019,Report,2017,MS,BL,1,,,,,,,,
"Time Magazine, 2012","Time Magazine, 2012","Andrae & Edler, 2015",659,2015,News Piece,2012,"SS, StS, IS",EL,3,,,,,,,,
"Tucker et al., 2012","Tucker et al., 2012","Andrae & Edler, 2015",659,2015,Paper (Conference),2012,"SS, StS, IS",EL,3,,,,,,,,
"Uptime institute, 2011","Uptime institute, 2011","Van Heddeghem et al., 2014",541,2014,Report,2011,IS,NF,1,,,,,,,,
"Uptime Institute, 2014","Uptime Institute, 2014","Bio by Deloitte, 2015",0,2015,Report,2014,IS,EL,1,,,,,,,,
US EPA,US EPA,"Brown et al., 2007",519,2007,Report (Draft),n/a,IS,NF,1,,,,,,,,
"Van Heddeghem et al., 2014","Van Heddeghem et al., 2014","Shehabi et al., 2016",691,2016,Paper (Journal) ,2014,NtS,EL,1,,,,,,,,
"Van Heddeghem et al., 2014","Van Heddeghem et al., 2014","Andrae, 2019b",2,2019,Paper (Journal) ,2014,SS,EL,1,,,,,,,,
"Van Heddeghem et al., 2014","Van Heddeghem et al., 2014","Andrae, 2019c",19,2019,Paper (Journal) ,2014,SS,EL,1,,,,,,,,
"Van Heddeghem et al., 2014","Van Heddeghem et al., 2014","Montevecchi et al., 2020",8,2020,Paper (Journal) ,2014,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Vereecken et al., 2010b","Vereecken et al., 2010b","Belkhir & Elmeligi, 2018",352,2018,Paper (Journal),2010,"SS, StS, NtS, IS",EL,4,,,,,,,,
"Verizon Communications, 2010","Verizon Communications, 2010","Corcoran & Andrae, 2013",67,2013,Report,2007,NtS,EL,1,,,,,,,,
"Xu, 2014","Xu, 2014","Andrae, 2019b",2,2019,Paper (Journal) ,2014,"MS, SS",EL,2,,,,,,,,
"Xu, 2014","Xu, 2014","Andrae, 2019c",19,2019,Paper (Journal) ,2014,SS,EL,1,,,,,,,,
"Zhang et al., 2020","Zhang et al., 2020","Andrae, 2020a",23,2020,Paper (Journal) ,2020,NtS,EL,1,,,,,,,,